Order Number,Purchased on,Total Purchased,Subtotal Purchased,Tax,Shipping,Discount,Vendor Amount,Vendor Subtotal,Vendor Shipping,Vendor Name,Payment Method,Payment Transaction ID
CEFE000002485,2025-08-30 18:29:04,384.22,343.22,0.00,41.00,0.00,28.9900,179.0500,28.9900,AllPoints,stripe_payments,pi_3S1tWMLbZ7P2XrWw2k0Qj7su
CEFE000002483,2025-08-30 16:49:26,235.41,194.41,0.00,41.00,0.00,130.4100,101.4200,28.9900,AllPoints,stripe_payments,pi_3S1rxwLbZ7P2XrWw0f7vyibh
CEFE000002480,2025-08-29 16:36:04,364.59,323.59,0.00,41.00,0.00,197.8000,168.8100,28.9900,AllPoints,stripe_payments,pi_3S1VHSLbZ7P2XrWw36DgrfkZ-refund
CEFE000002478,2025-08-29 12:48:40,260.98,219.98,0.00,41.00,0.00,143.7500,114.7600,28.9900,AllPoints,stripe_payments,pi_3S1RjPLbZ7P2XrWw2cWOlrog
CEFE000002477,2025-08-29 11:02:09,203.45,171.00,0.00,41.00,-8.55,104.9100,75.9200,28.9900,AllPoints,stripe_payments,pi_3S1Q4JLbZ7P2XrWw0DNiQy2h
CEFE000002473,2025-08-28 17:46:11,380.81,357.69,0.00,41.00,-17.88,215.5900,186.6000,28.9900,AllPoints,stripe_payments,pi_3S19tlLbZ7P2XrWw3OJoaLJk
CEFE000002472,2025-08-28 17:17:58,208.43,167.43,0.00,41.00,0.00,103.3300,74.3400,28.9900,AllPoints,stripe_payments,pi_3S19SSLbZ7P2XrWw1XdcHu4E
CEFE000002471,2025-08-28 16:41:14,309.06,268.06,0.00,41.00,0.00,168.8300,139.8400,28.9900,AllPoints,stripe_payments,pi_3S18suLbZ7P2XrWw0qNuZSmT
CEFE000002470,2025-08-28 00:22:10,115.40,74.40,0.00,41.00,0.00,52.1100,23.1200,28.9900,AllPoints,stripe_payments,pi_3S0tbQLbZ7P2XrWw23Sevi3V
CEFE000002469,2025-08-27 19:17:08,428.24,387.24,0.00,41.00,0.00,200.9100,171.9200,28.9900,AllPoints,stripe_payments,pi_3S0opELbZ7P2XrWw3dtvBs5O
CEFE000002468,2025-08-27 16:34:50,82.42,41.42,0.00,41.00,0.00,45.4500,16.4600,28.9900,AllPoints,stripe_payments,pi_3S0mJ9LbZ7P2XrWw2ppL42fE
CEFE000002467,2025-08-27 14:15:25,831.32,790.32,0.00,41.00,0.00,455.7500,426.7600,28.9900,AllPoints,stripe_payments,pi_3S0k8FLbZ7P2XrWw2iwqnPXL
CEFE000002466,2025-08-27 13:51:56,288.36,247.36,0.00,41.00,0.00,158.0300,129.0400,28.9900,AllPoints,stripe_payments,pi_3S0jlWLbZ7P2XrWw1zrD4aYk
CEFE000002465,2025-08-27 04:32:25,101.68,60.68,0.00,41.00,0.00,55.9300,26.9400,28.9900,AllPoints,stripe_payments,pi_3S0b23LbZ7P2XrWw30einE4b
CEFE000002464,2025-08-27 00:58:51,555.05,514.05,0.00,41.00,0.00,306.5700,277.5800,28.9900,AllPoints,stripe_payments,pi_3S0XhNLbZ7P2XrWw2RaIJMvY
