Order Number,Purchased on,Total Purchased,Subtotal Purchased,Tax,Shipping,Discount,Vendor Amount,Vendor Subtotal,Vendor Shipping,Vendor Name,Payment Method,payment_method,gross_amount,psp_fees,settlement_amount,currency_code,conversion_rate,margin_profit
CEFE000002485,2025-08-30 18:29:04,276.82128872000004,247.28177272000002,0.0,29.539516,0.0,28.99,179.05,28.99,AllPoints,stripe_payments,stripe_payments,276.82,12.48,264.34,USD,0.720476,43.819999999999965
CEFE000002483,2025-08-30 16:49:26,169.65810371999999,140.10973171999998,0.0,29.548372,0.0,130.41,101.42,28.99,AllPoints,stripe_payments,stripe_payments,169.66,7.77,161.89,USD,0.720692,23.709999999999987
CEFE000002480,2025-08-29 16:36:04,262.91605752,233.34980951999998,0.0,29.566247999999998,0.0,197.8,168.81,28.99,AllPoints,stripe_payments,stripe_payments,262.92,11.87,251.05,Refunded,0.721128,41.38000000000002
CEFE000002478,2025-08-29 12:48:40,187.879502,158.363602,0.0,29.5159,0.0,143.75,114.76,28.99,AllPoints,stripe_payments,stripe_payments,187.88,8.57,179.31,USD,0.7199,26.990000000000002
CEFE000002477,2025-08-29 11:02:09,146.42540639999999,123.070752,0.0,29.508192,-6.153537600000001,104.91,75.92,28.99,AllPoints,stripe_payments,stripe_payments,146.43,6.74,139.69,USD,0.719712,28.04
CEFE000002473,2025-08-28 17:46:11,274.2288972,257.5797228,0.0,29.524919999999998,-12.875745599999998,215.59,186.6,28.99,AllPoints,stripe_payments,stripe_payments,274.23,12.37,261.86,USD,0.72012,33.90000000000003
CEFE000002472,2025-08-28 17:17:58,150.0946116,120.5696916,0.0,29.524919999999998,0.0,103.33,74.34,28.99,AllPoints,stripe_payments,stripe_payments,150.09,6.9,143.19,USD,0.72012,32.96
CEFE000002471,2025-08-28 16:41:14,222.50063862,192.98363162,0.0,29.517007,0.0,168.83,139.84,28.99,AllPoints,stripe_payments,stripe_payments,222.5,10.09,212.41,USD,0.719927,33.489999999999995
CEFE000002470,2025-08-28 00:22:10,82.9149,53.45640000000001,0.0,29.4585,0.0,52.11,23.12,28.99,AllPoints,stripe_payments,stripe_payments,82.91,3.95,78.96,USD,0.7185,22.89999999999999
CEFE000002469,2025-08-27 19:17:08,307.29817216,277.87722816,0.0,29.420944,0.0,200.91,171.92,28.99,AllPoints,stripe_payments,stripe_payments,307.3,13.82,293.48,USD,0.717584,78.75000000000003
CEFE000002468,2025-08-27 16:34:50,59.01445082,29.657589820000002,0.0,29.356861000000002,0.0,45.45,16.46,28.99,AllPoints,stripe_payments,stripe_payments,59.01,2.9,56.11,USD,0.716021,7.76
CEFE000002467,2025-08-27 14:15:25,594.1128138400001,564.81167184,0.0,29.301142000000002,0.0,455.75,426.76,28.99,AllPoints,stripe_payments,stripe_payments,594.11,26.44,567.67,USD,0.714662,85.47999999999998
