payment_method,transaction_id,order_number,gross_amount,psp_fees,settlement_amount,currency_code,conversion_rate
stripe_payments,pi_3S1tWMLbZ7P2XrWw2k0Qj7su,CEFE000002485,276.82,12.48,264.34,USD,0.720476
stripe_payments,pi_3S1rxwLbZ7P2XrWw0f7vyibh,CEFE000002483,169.66,7.77,161.89,USD,0.720692
stripe_payments,pi_3S1VHSLbZ7P2XrWw36DgrfkZ-refund,CEFE000002480,262.92,11.87,251.05,USD,0.721128
stripe_payments,pi_3S1RjPLbZ7P2XrWw2cWOlrog,CEFE000002478,187.88,8.57,179.31,USD,0.7199
stripe_payments,pi_3S1Q4JLbZ7P2XrWw0DNiQy2h,CEFE000002477,146.43,6.74,139.69,USD,0.719712
stripe_payments,pi_3S19tlLbZ7P2XrWw3OJoaLJk,CEFE000002473,274.23,12.37,261.86,USD,0.72012
stripe_payments,pi_3S19SSLbZ7P2XrWw1XdcHu4E,CEFE000002472,150.09,6.9,143.19,USD,0.72012
stripe_payments,pi_3S18suLbZ7P2XrWw0qNuZSmT,CEFE000002471,222.5,10.09,212.41,USD,0.719927
stripe_payments,pi_3S0tbQLbZ7P2XrWw23Sevi3V,CEFE000002470,82.91,3.95,78.96,USD,0.7185
stripe_payments,pi_3S0opELbZ7P2XrWw3dtvBs5O,CEFE000002469,307.3,13.82,293.48,USD,0.717584
stripe_payments,pi_3S0mJ9LbZ7P2XrWw2ppL42fE,CEFE000002468,59.01,2.9,56.11,USD,0.716021
stripe_payments,pi_3S0k8FLbZ7P2XrWw2iwqnPXL,CEFE000002467,594.11,26.44,567.67,USD,0.714662
stripe_payments,pi_3S0jlWLbZ7P2XrWw1zrD4aYk,CEFE000002466,206.11,9.37,196.74,USD,0.714755
stripe_payments,pi_3S0b23LbZ7P2XrWw30einE4b,CEFE000002465,72.73,3.5,69.23,USD,0.715287
stripe_payments,pi_3S0XhNLbZ7P2XrWw2RaIJMvY,CEFE000002464,397.18,17.78,379.4,USD,0.715582
stripe_payments,pi_3S0XFlLbZ7P2XrWw2ZRB5Q8w,CEFE000002463,108.33,5.07,103.26,USD,0.715582
stripe_payments,pi_3S0VDQLbZ7P2XrWw3Dv3zUjG,CEFE000002462,269.43,12.15,257.28,USD,0.715426
stripe_payments,pi_3S0RRLLbZ7P2XrWw1Oe3gMou,CEFE000002457,214.3,9.73,204.57,USD,0.715359
stripe_payments,pi_3S0RNsLbZ7P2XrWw3llifYpA,CEFE000002456,304.69,13.71,290.98,USD,0.715359
stripe_payments,pi_3S0ON5LbZ7P2XrWw2TQxJa7p,CEFE000002455,85.24,4.05,81.19,USD,0.714884
stripe_payments,pi_3S0LmOLbZ7P2XrWw1LRiFBmt,CEFE000002454,104.37,4.89,99.48,USD,0.71508
stripe_payments,pi_3S061qLbZ7P2XrWw2LnOCXPU,CEFE000002453,74.13,3.56,70.57,USD,0.714667
stripe_payments,pi_3S05bwLbZ7P2XrWw1Tc9JS2V,CEFE000002452,188.31,8.59,179.72,USD,0.715178
